Gene_ID,MDD_1:read count,MDD_2:read count,MDD_3:read count,MDD_4:read count,MDD_5:read count,MDD_6:read count,HC_1:read count,HC_2:read count,HC_3:read count,HC_4:read count,HC_5:read count,Length,Name,Description,Entrez_geneID
ENSG00000000003,7,7,5,10,9,5,8,20,17,5,6,4536,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],7105
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,1476,TNMD,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757],64102
ENSG00000000419,660,920,796,878,1152,770,1117,1284,935,874,843,9276,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",8813
ENSG00000000457,343,408,364,430,401,220,569,625,474,235,308,6883,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],57147
ENSG00000000460,72,77,76,73,97,30,133,119,85,36,32,5970,C1orf112,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565],55732
ENSG00000000938,4791,5412,3657,7367,4898,2002,8245,6424,7953,3243,4512,3382,FGR,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",2268
ENSG00000000971,20,15,14,9,21,2,15,14,39,23,7,15284,CFH,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883],3075
ENSG00000001036,214,255,178,243,212,64,325,295,301,90,106,2822,FUCA2,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],2519
ENSG00000001084,397,418,410,333,381,97,564,606,575,189,273,8618,GCLC,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],2729
ENSG00000001167,721,712,826,1015,1052,404,1194,1212,1187,688,715,6209,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],4800
ENSG00000001460,17,13,20,13,28,3,22,45,32,4,10,8511,STPG1,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],90529
ENSG00000001461,439,446,492,353,474,130,645,924,635,216,315,9396,NIPAL3,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],57185
ENSG00000001497,296,337,371,267,333,101,507,569,408,178,182,12555,LAS1L,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],81887
ENSG00000001561,577,513,626,713,691,177,1450,1316,804,490,492,4644,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359],22875
ENSG00000001617,0,0,0,0,0,1,1,0,0,1,1,4826,SEMA3F,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728],6405
ENSG00000001626,0,0,0,0,0,0,0,0,0,0,0,16821,CFTR,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],1080
ENSG00000001629,780,886,809,744,936,233,1438,1439,1287,452,540,7389,ANKIB1,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215],54467
ENSG00000001630,8,2,2,1,5,0,5,13,5,0,1,4171,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],1595
ENSG00000001631,224,316,313,238,339,53,544,508,383,107,135,21110,KRIT1,KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573],889
ENSG00000002016,126,120,158,116,144,26,219,248,191,62,100,4503,RAD52,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",5893
ENSG00000002330,14,13,14,5,8,2,14,20,11,19,10,1708,BAD,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],572
ENSG00000002549,2023,1195,1505,1366,1075,393,997,1817,821,525,771,3779,LAP3,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],51056
ENSG00000002586,1062,1057,635,886,818,293,2079,1702,1569,619,500,4858,CD99,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],4267
ENSG00000002587,19,14,11,6,22,3,20,15,18,11,12,7435,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194],9957
ENSG00000002726,3,10,10,29,2,10,22,4,54,54,22,3786,AOC1,amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80],26
ENSG00000002745,24,37,27,19,38,14,27,21,20,3,12,3264,WNT16,Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267],51384
ENSG00000002746,0,2,0,0,0,0,0,0,0,0,0,13935,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]",23072
ENSG00000002822,48,25,22,31,28,9,43,57,28,14,11,6955,MAD1L1,mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762],8379
ENSG00000002834,2354,2093,1882,3791,2472,704,4369,3449,3763,1753,1976,7061,LASP1,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],3927
ENSG00000002919,518,616,485,742,814,445,833,808,860,651,639,4133,SNX11,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975],29916
ENSG00000002933,21,213,152,200,34,95,265,71,359,83,188,3477,TMEM176A,transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930],55365
